fsm,wis,ois,wisp,oisp,7676,134524,226452,334353,449872,543342,636439,74765,93925383,103539682,median
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 10 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.478 --n1x1 0 --c1x1 2 --p1x1 0.062 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.646 --n2x1 2 --c2x1 2 --p2x1 0.515 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.85 --n3x1 0 --c3x1 4 --p3x1 10 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.953 --n3x3 0 --c3x3 4 --p3x3 3 --w3x3 1.02 ,47.805,0.023,46.419,0.023,46.0,48.0,48.0,47.0,45.0,40.0,39.0,47.0,48.0,38.0,46.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 1 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.387 --n1x1 0 --c1x1 2 --p1x1 0.335 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.22 --n2x1 2 --c2x1 2 --p2x1 0.762 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.439 --n3x1 0 --c3x1 4 --p3x1 10 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.215 --n3x3 0 --c3x3 4 --p3x3 7 --w3x3 1.02 ,47.363,0.061,46.127,0.059,49.0,47.0,46.0,41.0,46.0,55.0,48.0,48.0,40.0,55.0,47.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 7 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.845 --n1x1 0 --c1x1 2 --p1x1 0.191 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.538 --n2x1 2 --c2x1 2 --p2x1 0.718 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.865 --n3x1 0 --c3x1 4 --p3x1 7 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.868 --n3x3 0 --c3x3 4 --p3x3 4 --w3x3 1.02 ,49.496,0.284,48.089,0.276,42.0,46.0,41.0,49.0,48.0,47.0,40.0,43.0,39.0,42.0,42.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 3 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.398 --n1x1 0 --c1x1 2 --p1x1 0.265 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.871 --n2x1 2 --c2x1 2 --p2x1 0.696 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.816 --n3x1 0 --c3x1 4 --p3x1 2 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.838 --n3x3 0 --c3x3 4 --p3x3 7 --w3x3 1.02 ,48.141,0.169,47.396,0.167,48.0,43.0,47.0,51.0,38.0,47.0,46.0,40.0,44.0,39.0,45.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 5 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.138 --n1x1 0 --c1x1 2 --p1x1 0.901 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.264 --n2x1 2 --c2x1 2 --p2x1 0.85 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.064 --n3x1 0 --c3x1 4 --p3x1 7 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.101 --n3x3 0 --c3x3 4 --p3x3 1 --w3x3 1.02 ,46.92,1.10387e+32,45.579,1.07231e+32,50.0,50.0,42.0,40.0,44.0,39.0,49.0,50.0,42.0,45.0,44.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 8 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.629 --n1x1 0 --c1x1 2 --p1x1 0.331 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.099 --n2x1 2 --c2x1 2 --p2x1 0.935 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.43 --n3x1 0 --c3x1 4 --p3x1 3 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.181 --n3x3 0 --c3x3 4 --p3x3 4 --w3x3 1.02 ,48.579,0.95,48.231,0.943,46.0,52.0,45.0,51.0,54.0,45.0,44.0,49.0,47.0,48.0,47.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 9 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.363 --n1x1 0 --c1x1 2 --p1x1 0.723 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.177 --n2x1 2 --c2x1 2 --p2x1 0.399 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.286 --n3x1 0 --c3x1 4 --p3x1 5 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.035 --n3x3 0 --c3x3 4 --p3x3 8 --w3x3 1.02 ,46.833,3.34011e+22,45.495,3.24466e+22,46.0,45.0,46.0,53.0,44.0,43.0,46.0,54.0,52.0,47.0,46.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 9 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.137 --n1x1 0 --c1x1 2 --p1x1 0.145 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.069 --n2x1 2 --c2x1 2 --p2x1 0.667 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.371 --n3x1 0 --c3x1 4 --p3x1 2 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.059 --n3x3 0 --c3x3 4 --p3x3 7 --w3x3 1.02 ,47.664,0.017,46.306,0.017,42.0,41.0,50.0,45.0,48.0,43.0,44.0,43.0,46.0,39.0,43.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 10 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.734 --n1x1 0 --c1x1 2 --p1x1 0.972 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.326 --n2x1 2 --c2x1 2 --p2x1 0.282 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.493 --n3x1 0 --c3x1 4 --p3x1 10 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.657 --n3x3 0 --c3x3 4 --p3x3 2 --w3x3 1.02 ,47.112,1.1934e+37,45.764,1.15927e+37,49.0,49.0,48.0,48.0,49.0,50.0,47.0,55.0,53.0,51.0,49.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 2 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.534 --n1x1 0 --c1x1 2 --p1x1 0.465 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.394 --n2x1 2 --c2x1 2 --p2x1 0.75 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.433 --n3x1 0 --c3x1 4 --p3x1 5 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.105 --n3x3 0 --c3x3 4 --p3x3 1 --w3x3 1.02 ,45.173,247.633,48.866,267.875,53.0,49.0,49.0,51.0,48.0,55.0,56.0,53.0,56.0,50.0,52.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 2 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.884 --n1x1 0 --c1x1 2 --p1x1 0.062 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.367 --n2x1 2 --c2x1 2 --p2x1 0.868 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.878 --n3x1 0 --c3x1 4 --p3x1 3 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.651 --n3x3 0 --c3x3 4 --p3x3 4 --w3x3 1.02 ,48.006,0.076,46.614,0.074,47.0,36.0,39.0,45.0,51.0,39.0,39.0,43.0,52.0,46.0,44.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 7 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.698 --n1x1 0 --c1x1 2 --p1x1 0.66 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.068 --n2x1 2 --c2x1 2 --p2x1 0.86 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.478 --n3x1 0 --c3x1 4 --p3x1 4 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.236 --n3x3 0 --c3x3 4 --p3x3 6 --w3x3 1.02 ,51.136,1.97181e+20,49.66,1.91491e+20,43.0,49.0,46.0,50.0,48.0,46.0,48.0,47.0,56.0,52.0,48.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 4 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.914 --n1x1 0 --c1x1 2 --p1x1 0.718 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.359 --n2x1 2 --c2x1 2 --p2x1 0.631 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.731 --n3x1 0 --c3x1 4 --p3x1 10 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.354 --n3x3 0 --c3x3 4 --p3x3 4 --w3x3 1.02 ,50.865,2.31275e+24,49.398,2.24604e+24,54.0,43.0,53.0,48.0,43.0,50.0,49.0,46.0,53.0,37.0,48.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 1 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.567 --n1x1 0 --c1x1 2 --p1x1 0.973 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.161 --n2x1 2 --c2x1 2 --p2x1 0.591 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.372 --n3x1 0 --c3x1 4 --p3x1 6 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.297 --n3x3 0 --c3x3 4 --p3x3 3 --w3x3 1.02 ,53.553,4.54719e+25,52.0,4.41528e+25,50.0,54.0,44.0,50.0,43.0,56.0,44.0,60.0,50.0,47.0,50.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 4 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.693 --n1x1 0 --c1x1 2 --p1x1 0.484 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.526 --n2x1 2 --c2x1 2 --p2x1 0.569 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.778 --n3x1 0 --c3x1 4 --p3x1 6 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.785 --n3x3 0 --c3x3 4 --p3x3 5 --w3x3 1.02 ,49.895,258420.0,48.557,251490.0,47.0,47.0,53.0,48.0,48.0,52.0,47.0,57.0,45.0,44.0,47.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 5 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.583 --n1x1 0 --c1x1 2 --p1x1 0.667 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.403 --n2x1 2 --c2x1 2 --p2x1 0.777 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.542 --n3x1 0 --c3x1 4 --p3x1 3 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.107 --n3x3 0 --c3x3 4 --p3x3 1 --w3x3 1.02 ,49.892,1.63842e+20,48.456,1.59126e+20,50.0,43.0,50.0,48.0,46.0,49.0,59.0,45.0,48.0,53.0,48.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 3 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.924 --n1x1 0 --c1x1 2 --p1x1 0.766 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.212 --n2x1 2 --c2x1 2 --p2x1 0.991 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.936 --n3x1 0 --c3x1 4 --p3x1 7 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.029 --n3x3 0 --c3x3 4 --p3x3 4 --w3x3 1.02 ,52.557,1.6249e+28,51.036,1.5778599999999998e+28,46.0,47.0,49.0,46.0,51.0,51.0,46.0,42.0,51.0,51.0,48.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 3 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.768 --n1x1 0 --c1x1 2 --p1x1 0.715 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.441 --n2x1 2 --c2x1 2 --p2x1 0.687 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.415 --n3x1 0 --c3x1 4 --p3x1 3 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.088 --n3x3 0 --c3x3 4 --p3x3 5 --w3x3 1.02 ,50.581,6.24839e+23,49.122,6.06827e+23,51.0,51.0,51.0,50.0,44.0,49.0,44.0,44.0,51.0,47.0,49.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 6 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.668 --n1x1 0 --c1x1 2 --p1x1 0.731 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.176 --n2x1 2 --c2x1 2 --p2x1 0.972 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.995 --n3x1 0 --c3x1 4 --p3x1 9 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.187 --n3x3 0 --c3x3 4 --p3x3 4 --w3x3 1.02 ,52.064,3.18351e+25,50.558,3.09146e+25,46.0,45.0,52.0,39.0,51.0,50.0,51.0,35.0,46.0,46.0,46.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 3 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.696 --n1x1 0 --c1x1 2 --p1x1 0.4 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.064 --n2x1 2 --c2x1 2 --p2x1 0.847 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.596 --n3x1 0 --c3x1 4 --p3x1 6 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.465 --n3x3 0 --c3x3 4 --p3x3 1 --w3x3 1.02 ,48.486,6.541,48.535,6.547,46.0,50.0,48.0,43.0,51.0,49.0,43.0,49.0,54.0,50.0,49.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 2 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.802 --n1x1 0 --c1x1 2 --p1x1 0.755 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.592 --n2x1 2 --c2x1 2 --p2x1 0.798 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.574 --n3x1 0 --c3x1 4 --p3x1 4 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.369 --n3x3 0 --c3x3 4 --p3x3 2 --w3x3 1.02 ,53.263,6.23373e+25,51.719,6.05301e+25,49.0,55.0,50.0,55.0,55.0,49.0,44.0,51.0,57.0,52.0,51.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 6 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.811 --n1x1 0 --c1x1 2 --p1x1 0.914 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.31 --n2x1 2 --c2x1 2 --p2x1 0.946 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.736 --n3x1 0 --c3x1 4 --p3x1 8 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.244 --n3x3 0 --c3x3 4 --p3x3 3 --w3x3 1.02 ,52.087,1.39764e+36,50.581,1.35722e+36,41.0,42.0,55.0,42.0,66.0,56.0,45.0,51.0,51.0,44.0,48.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 2 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.241 --n1x1 0 --c1x1 2 --p1x1 0.779 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.142 --n2x1 2 --c2x1 2 --p2x1 0.89 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.901 --n3x1 0 --c3x1 4 --p3x1 8 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.591 --n3x3 0 --c3x3 4 --p3x3 6 --w3x3 1.02 ,53.036,4.99742e+25,51.5,4.8526e+25,53.0,49.0,43.0,53.0,49.0,48.0,47.0,44.0,51.0,45.0,48.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 1 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.32 --n1x1 0 --c1x1 2 --p1x1 0.83 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.615 --n2x1 2 --c2x1 2 --p2x1 0.771 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.536 --n3x1 0 --c3x1 4 --p3x1 9 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.194 --n3x3 0 --c3x3 4 --p3x3 4 --w3x3 1.02 ,53.546,5.58989e+17,51.999,5.42835e+17,50.0,52.0,46.0,43.0,50.0,57.0,45.0,43.0,51.0,48.0,49.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 5 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.302 --n1x1 0 --c1x1 2 --p1x1 0.533 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.139 --n2x1 2 --c2x1 2 --p2x1 0.385 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.758 --n3x1 0 --c3x1 4 --p3x1 8 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.707 --n3x3 0 --c3x3 4 --p3x3 8 --w3x3 1.02 ,46.872,137189000.0,45.58,133406000.0,43.0,48.0,45.0,51.0,45.0,49.0,45.0,49.0,43.0,39.0,45.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 2 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.729 --n1x1 0 --c1x1 2 --p1x1 0.707 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.582 --n2x1 2 --c2x1 2 --p2x1 0.464 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.627 --n3x1 0 --c3x1 4 --p3x1 4 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.169 --n3x3 0 --c3x3 4 --p3x3 4 --w3x3 1.02 ,52.726,5.39137e+21,51.199,5.23524e+21,50.0,49.0,52.0,54.0,49.0,50.0,39.0,50.0,47.0,46.0,49.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 2 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.496 --n1x1 0 --c1x1 2 --p1x1 0.896 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.738 --n2x1 2 --c2x1 2 --p2x1 0.756 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.778 --n3x1 0 --c3x1 4 --p3x1 1 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.801 --n3x3 0 --c3x3 4 --p3x3 1 --w3x3 1.02 ,52.985,7.89058e+32,51.449,7.66195e+32,56.0,44.0,56.0,47.0,52.0,53.0,39.0,46.0,53.0,47.0,49.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 4 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.203 --n1x1 0 --c1x1 2 --p1x1 0.769 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.115 --n2x1 2 --c2x1 2 --p2x1 0.197 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.523 --n3x1 0 --c3x1 4 --p3x1 3 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.369 --n3x3 0 --c3x3 4 --p3x3 2 --w3x3 1.02 ,45.581,1.01222e+24,44.282,9.83386e+23,46.0,44.0,48.0,44.0,44.0,49.0,55.0,41.0,45.0,48.0,45.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 8 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.721 --n1x1 0 --c1x1 2 --p1x1 0.9 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.108 --n2x1 2 --c2x1 2 --p2x1 0.876 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.488 --n3x1 0 --c3x1 4 --p3x1 8 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.236 --n3x3 0 --c3x3 4 --p3x3 5 --w3x3 1.02 ,51.479,9.60842e+34,49.992,9.33089e+34,43.0,54.0,55.0,44.0,51.0,58.0,51.0,54.0,53.0,47.0,52.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 5 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.344 --n1x1 0 --c1x1 2 --p1x1 0.689 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.499 --n2x1 2 --c2x1 2 --p2x1 0.612 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.739 --n3x1 0 --c3x1 4 --p3x1 5 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.14 --n3x3 0 --c3x3 4 --p3x3 5 --w3x3 1.02 ,48.74,7.56041e+20,47.341,7.34336e+20,44.0,50.0,47.0,47.0,44.0,61.0,50.0,48.0,42.0,53.0,47.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 2 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.941 --n1x1 0 --c1x1 2 --p1x1 0.205 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.338 --n2x1 2 --c2x1 2 --p2x1 0.924 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.481 --n3x1 0 --c3x1 4 --p3x1 10 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.167 --n3x3 0 --c3x3 4 --p3x3 1 --w3x3 1.02 ,48.941,0.256,47.549,0.249,52.0,44.0,52.0,52.0,42.0,45.0,40.0,48.0,51.0,43.0,46.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 5 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.728 --n1x1 0 --c1x1 2 --p1x1 0.597 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.156 --n2x1 2 --c2x1 2 --p2x1 0.534 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.541 --n3x1 0 --c3x1 4 --p3x1 8 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.077 --n3x3 0 --c3x3 4 --p3x3 2 --w3x3 1.02 ,49.08,874494000000000.0,47.67,849370000000000.0,48.0,51.0,51.0,47.0,48.0,52.0,54.0,52.0,54.0,41.0,51.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 5 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.65 --n1x1 0 --c1x1 2 --p1x1 0.476 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.284 --n2x1 2 --c2x1 2 --p2x1 0.853 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.702 --n3x1 0 --c3x1 4 --p3x1 6 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.3 --n3x3 0 --c3x3 4 --p3x3 1 --w3x3 1.02 ,50.424,84691.8,49.086,82444.3,47.0,40.0,49.0,49.0,48.0,49.0,48.0,56.0,65.0,47.0,48.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 4 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.84 --n1x1 0 --c1x1 2 --p1x1 0.86 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.319 --n2x1 2 --c2x1 2 --p2x1 0.772 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.6 --n3x1 0 --c3x1 4 --p3x1 1 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.348 --n3x3 0 --c3x3 4 --p3x3 3 --w3x3 1.02 ,51.009,7.39835e+32,49.537,7.18487e+32,45.0,52.0,45.0,51.0,56.0,55.0,50.0,57.0,48.0,47.0,50.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 1 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.42 --n1x1 0 --c1x1 2 --p1x1 0.957 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.898 --n2x1 2 --c2x1 2 --p2x1 0.865 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.934 --n3x1 0 --c3x1 4 --p3x1 9 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.671 --n3x3 0 --c3x3 4 --p3x3 1 --w3x3 1.02 ,53.553,1.67703e+25,52.0,1.62838e+25,52.0,45.0,41.0,56.0,47.0,59.0,51.0,44.0,48.0,46.0,47.5
